X;Y;insee;nom
4.6465568567563;45.986390578796;"69105";Lacenas
4.66066762236205;45.8913979405681;"69047";Charnay
4.6083053168137;45.8353151557028;"69010";L'Arbresle
4.70868591200515;45.9133537198943;"69122";Lucenay
4.71493418370489;45.8356083299818;"69076";Dommartin
4.6999782483789;45.8943836562991;"69140";Morancé
4.59681927135176;45.6324026154593;"69180";Saint-André-la-Côte
4.74990334050455;45.6249939581654;"69136";Montagny
4.72687043820961;45.7612942522183;"69205";Saint-Genis-les-Ollières
4.61838256002373;45.6570949329302;"69170";Rontalon
4.63079876066695;45.7983279630114;"69177";Sourcieux-les-Mines
4.62575496280031;45.6838784866001;"69249";Thurins
4.534726441122;45.7110193014307;"69138";Montromant
4.74315895504038;45.7800696144146;"69044";Charbonnières-les-Bains
4.9489228896489;45.7017753082431;"69290";Saint-Priest
5.02215571314931;45.6962123272296;"69287";Saint-Bonnet-de-Mure
4.67034946901628;45.8124237823379;"69112";Lentilly
5.06186414290525;45.4969519829684;"38476";Savas-Mépin
5.02167948525572;45.5121304353621;"38238";Moidieu-Détourbe
4.71547375167337;45.4784294892731;"42051";La Chapelle-Villars
4.67483673028153;45.5630810934433;"42083";Dargoire
4.98529021532264;45.5477796748687;"38480";Septème
4.68902195380515;45.5346085933626;"69252";Trèves
4.67979479710715;45.5043609864908;"69119";Longes
4.79785883724595;45.8150294000228;"69194";Saint-Didier-au-Mont-d'Or
4.91019997452064;45.492853237337;"38199";Jardin
4.91972051188814;45.5575091129663;"38484";Serpaize
4.88899121468023;45.7710534332504;"69266";Villeurbanne
5.10831957401057;45.6397806903697;"38449";Saint-Quentin-Fallavier
4.78719728541282;45.6086895090813;"69096";Grigny
4.94080142654413;45.8447429335378;"01249";Miribel
5.1014978151072;45.8694189406799;"01062";Bressolles
4.78064757491618;45.9936877114218;"01166";Frans
5.02778854427342;45.6076525495304;"38519";Valencin
4.86394176530677;45.9677351043951;"01318";Rancé
5.00876001777207;45.6451108128334;"69289";Saint-Pierre-de-Chandieu
5.06088953342668;45.6838067421832;"69288";Saint-Laurent-de-Mure
5.04132081083843;45.7912752041892;"69279";Jonage
4.95682104427594;45.589477121305;"38215";Luzinay
4.91287585069203;45.5894305857975;"38558";Villette-de-Vienne
4.84344517212581;45.5599360528124;"38487";Seyssuel
4.85054751898645;45.7015670467414;"69199";Saint-Fons
5.0175242599966;45.8168800063941;"01418";Thil
4.94582746079789;45.9624731703879;"01261";Monthieux
4.8219670094769;45.9935751506905;"01021";Ars-sur-Formans
4.80674607774519;45.6050440283971;"69297";Ternay
5.00629233543023;45.7771600152202;"69282";Meyzieu
4.8988718158773;45.8205294316862;"69286";Rillieux-la-Pape
4.86761678431472;45.8773091193822;"69284";Montanay
4.92669597598712;45.786148063082;"69256";Vaulx-en-Velin
5.07891897482582;45.8000203505382;"69280";Jons
4.8249610961635;45.6277547112575;"69294";Sérézin-du-Rhône
4.7705466554073;45.9410163405652;"01427";Trévoux
4.84417854622387;45.8834411332715;"69143";Neuville-sur-Saône
4.81837013866691;45.8692146045893;"69071";Curis-au-Mont-d'Or
4.82805068833687;45.9185537266934;"01285";Parcieux
4.74041887346296;45.928689261619;"69005";Ambérieux
4.80098853426252;45.882737277603;"69207";Saint-Germain-au-Mont-d'Or
4.8379627885673;45.8983080292396;"69278";Genay
4.85633573620651;45.8284449481012;"69088";Fontaines-sur-Saône
4.79358669872175;45.7358894918565;"69202";Sainte-Foy-lès-Lyon
4.79034613720072;45.6508822462342;"69046";Charly
5.05943327936826;45.8223776659752;"01276";Niévroz
4.95322697269578;45.9268784709024;"01333";Saint-André-de-Corcy
5.04941356514637;45.8960303662733;"01342";Sainte-Croix
4.9617090527145;45.7719771208726;"69275";Décines-Charpieu
4.80313321646844;45.7152846692538;"69149";Oullins
5.16944744198254;46.0075095188413;"01074";Chalamont
5.14357771682272;45.8862527238094;"01054";Bourg-Saint-Christophe
5.17208825068395;45.7691476264098;"38097";Chavanoz
4.61598727973626;45.8604221570108;"69208";Saint-Germain-Nuelles
4.72685218174751;45.7460077652739;"69069";Craponne
4.7726208285424;45.7818676551703;"69081";Écully
4.71234575261883;45.8102466974405;"69250";La Tour-de-Salvagny
4.59520496282723;45.709113890828;"69269";Yzeron
4.7526960779163;45.6778291084156;"69027";Brignais
4.69272394814207;45.7740961351924;"69190";Sainte-Consorce
4.5749465961378;45.9043064992483;"69111";Légny
4.68781234293555;45.9910306521688;"69092";Gleizé
4.64268503230758;45.7297966798704;"69255";Vaugneray
4.6678106870741;45.8674868126439;"69020";Belmont-d'Azergues
4.5725152642745;45.9356671801676;"69024";Val d'Oingt
4.92366982248069;45.5346505737213;"38318";Pont-Évêque
4.95850936350861;45.5133170564637;"38157";Estrablin
4.85756557363806;45.9972380843654;"01398";Savigneux
5.06731098173269;45.7540462094066;"69285";Pusignan
4.88400749328624;45.8603456289897;"69033";Cailloux-sur-Fontaines
4.82881101700003;45.9370230139616;"01322";Reyrieux
4.99741875836194;45.8395022426436;"01043";Beynost
4.72981924817516;45.5506459358;"69080";Échalas
4.75737952325114;45.4738606830776;"69064";Condrieu
4.59162904045826;45.890984137216;"69026";Le Breuil
4.77057664850948;45.8748693041576;"69049";Chasselay
4.61683233401169;45.8907447495064;"69056";Chessy
4.74530635439726;45.8552284238254;"69117";Lissieu
4.70910576297563;45.8761974209997;"69052";Chazay-d'Azergues
5.12484582373236;45.9106105086269;"01156";Faramans
4.87841223996596;45.575738425425;"38110";Chuzelles
5.11581672418593;45.5385715466858;"38081";Charantonnay
