OD,OD FULL (CODE COMMUNE),NOM_COM_START,NOM_COM_END,Nombre,CENTROID_COM_START_X,CENTROID_COM_START_Y,CENTROID_COM_END_X,CENTROID_COM_END_Y,WAYPOINT_X,WAYPOINT_Y,WIDTH,WKT
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69387 -> 69387,Lyon 7e Arrondissement,Lyon 7e Arrondissement,135,4.83736856178182,45.7334291759191,4.83736856178182,45.7334291759191,4.842077,45.721641,13.5,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69256 -> 69387,Vaulx-en-Velin,Lyon 7e Arrondissement,134,4.92669597598712,45.786148063082,4.83736856178182,45.7334291759191,4.842077,45.721641,13.4,"LINESTRING(4.92669597598712 45.786148063082,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69029,Lyon 7e Arrondissement,Bron,133,4.83736856178182,45.7334291759191,4.91194010503519,45.7346725078783,4.842077,45.721641,13.3,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.91194010503519 45.7346725078783)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69029 -> 69387,Bron,Lyon 7e Arrondissement,129,4.91194010503519,45.7346725078783,4.83736856178182,45.7334291759191,4.842077,45.721641,12.9,"LINESTRING(4.91194010503519 45.7346725078783,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69199,Lyon 7e Arrondissement,Saint-Fons,129,4.83736856178182,45.7334291759191,4.85054751898645,45.7015670467414,4.842077,45.721641,12.9,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.85054751898645 45.7015670467414)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69271 -> 69387,Chassieu,Lyon 7e Arrondissement,123,4.96226256315257,45.7381365556818,4.83736856178182,45.7334291759191,4.842077,45.721641,12.3,"LINESTRING(4.96226256315257 45.7381365556818,4.842077 45.721641,4.83736856178182 45.7334291759191)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69382 -> 69290,Lyon 2e Arrondissement,Saint-Priest,122,4.82563546201978,45.7484198223014,4.9489228896489,45.7017753082431,4.842077,45.721641,12.2,"LINESTRING(4.82563546201978 45.7484198223014,4.842077 45.721641,4.9489228896489 45.7017753082431)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69382 -> 69259,Lyon 2e Arrondissement,Vénissieux,118,4.82563546201978,45.7484198223014,4.88119698352709,45.7042422660472,4.842077,45.721641,11.8,"LINESTRING(4.82563546201978 45.7484198223014,4.842077 45.721641,4.88119698352709 45.7042422660472)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69388 -> 69256,Lyon 8e Arrondissement,Vaulx-en-Velin,116,4.86928073743304,45.7339241974647,4.92669597598712,45.786148063082,4.881232,45.732687,11.6,"LINESTRING(4.86928073743304 45.7339241974647,4.881232 45.732687,4.92669597598712 45.786148063082)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69388 -> 69271,Lyon 8e Arrondissement,Chassieu,114,4.86928073743304,45.7339241974647,4.96226256315257,45.7381365556818,4.881232,45.732687,11.4,"LINESTRING(4.86928073743304 45.7339241974647,4.881232 45.732687,4.96226256315257 45.7381365556818)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69383 -> 69290,Lyon 3e Arrondissement,Saint-Priest,112,4.86938666205072,45.7533324518969,4.9489228896489,45.7017753082431,4.881232,45.732687,11.2,"LINESTRING(4.86938666205072 45.7533324518969,4.881232 45.732687,4.9489228896489 45.7017753082431)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69266 -> 69388,Villeurbanne,Lyon 8e Arrondissement,109,4.88899121468023,45.7710534332504,4.86928073743304,45.7339241974647,4.881232,45.732687,10.9,"LINESTRING(4.88899121468023 45.7710534332504,4.881232 45.732687,4.86928073743304 45.7339241974647)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69256,Lyon 7e Arrondissement,Vaulx-en-Velin,108,4.83736856178182,45.7334291759191,4.92669597598712,45.786148063082,4.842077,45.721641,10.8,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.92669597598712 45.786148063082)"
PASSE PAR AVENUE JEAN MERMOZ Ouest Est,PASSE PAR AVENUE JEAN MERMOZ Ouest Est : 69388 -> 69282,Lyon 8e Arrondissement,Meyzieu,103,4.86928073743304,45.7339241974647,5.00629233543023,45.7771600152202,4.881232,45.732687,10.3,"LINESTRING(4.86928073743304 45.7339241974647,4.881232 45.732687,5.00629233543023 45.7771600152202)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Sud Nord : 69387 -> 69271,Lyon 7e Arrondissement,Chassieu,101,4.83736856178182,45.7334291759191,4.96226256315257,45.7381365556818,4.842077,45.721641,10.1,"LINESTRING(4.83736856178182 45.7334291759191,4.842077 45.721641,4.96226256315257 45.7381365556818)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69277 -> 69388,Genas,Lyon 8e Arrondissement,94,5.01608883503537,45.7299904750262,4.86928073743304,45.7339241974647,4.881232,45.732687,9.4,"LINESTRING(5.01608883503537 45.7299904750262,4.881232 45.732687,4.86928073743304 45.7339241974647)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69029 -> 69383,Bron,Lyon 3e Arrondissement,93,4.91194010503519,45.7346725078783,4.86938666205072,45.7533324518969,4.881232,45.732687,9.3,"LINESTRING(4.91194010503519 45.7346725078783,4.881232 45.732687,4.86938666205072 45.7533324518969)"
PASSE PAR AVENUE JEAN MERMOZ Est Ouest,PASSE PAR AVENUE JEAN MERMOZ Est Ouest : 69271 -> 69383,Chassieu,Lyon 3e Arrondissement,92,4.96226256315257,45.7381365556818,4.86938666205072,45.7533324518969,4.881232,45.732687,9.2,"LINESTRING(4.96226256315257 45.7381365556818,4.881232 45.732687,4.86938666205072 45.7533324518969)"
PASSE PAR D51_Sud_Nord,PASSE PAR D51_Sud_Nord : 69386 -> 69389,Lyon 6e Arrondissement,Lyon 9e Arrondissement,92,4.85190998301348,45.7731372369993,4.80878323742598,45.7826268074114,4.845935,45.814674,9.2,"LINESTRING(4.85190998301348 45.7731372369993,4.845935 45.814674,4.80878323742598 45.7826268074114)"
PASSE PAR D51_Sud_Nord,PASSE PAR D51_Sud_Nord : 69389 -> 69389,Lyon 9e Arrondissement,Lyon 9e Arrondissement,91,4.80878323742598,45.7826268074114,4.80878323742598,45.7826268074114,4.845935,45.814674,9.1,"LINESTRING(4.80878323742598 45.7826268074114,4.845935 45.814674,4.80878323742598 45.7826268074114)"
PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud,PASSE PAR BOULEVARD CHAMBAUD DE LA BRUYÈRE Nord Sud : 69277 -> 69387,Genas,Lyon 7e Arrondissement,89,5.01608883503537,45.7299904750262,4.83736856178182,45.7334291759191,4.842077,45.721641,8.9,"LINESTRING(5.01608883503537 45.7299904750262,4.842077 45.721641,4.83736856178182 45.7334291759191)"
